"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4","tags/5","tags/6","tags/7"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/0fb87f67-79d8-4ad5-bb06-6e9d668400cd/92915846-0e73-446a-919f-3e693baa0a07.jpg","Invictus","International food","R. José Fontana 10,8200-295,Albufeira","14","8.8","28","https://www.thefork.com/restaurant/invictus-r730060",,"YUMS x2","International food",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/cf797b76-9f49-4e2d-bd25-89b05d312ff3/e4caa36b-9184-41cf-a5b3-746f2ee12795.jpg","Galinha da Vizinha - Albufeira","International food","R. Almeida Garrett 71,8200-272,Albufeira","15","9.3","301","https://www.thefork.com/restaurant/galinha-da-vizinha-albufeira-r805058","30% off the 'a la carte' menu","International food",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/25442534-4b23-40e5-91a5-2eb2da7b7a92/a9a3403c-8ea8-48ca-86af-e05594fffa3c.png","Odessa Sushi Restaurant","Japanese","R. da Torre Velha,8200,Albufeira","24","9.6","376","https://www.thefork.com/restaurant/odessa-sushi-restaurant-r712669","30% off the 'a la carte' menu","Japanese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b503cd9e-224f-4351-96ca-a17d6bf58d2f/4ee46969-3d9a-45ea-a823-96e9f49741a9.jpg","Chutneys","Indian","Tv. Antero de Quental 4B r/c,8200-296,Albufeira","14","9.1","580","https://www.thefork.com/restaurant/chutneys-r576521","-30% sobre a ementa!","Indian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/6c1fbaa3-0ebc-4441-a116-2595fe73dc6c/d1b83877-7878-40c0-8e9a-8c5d0c6d887b.jpg","Audaces","Portuguese","R. Alexandre Herculano 11,8200-269,Albufeira","15","9","82","https://www.thefork.com/restaurant/audaces-r802974","30% off the 'a la carte' menu","Portuguese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/dd1ee6b2-ec17-4434-b316-dc914aae0977/840a276a-863d-45be-8267-e4c859ed74a1.jpg","Al'Italiu","Italian","Rua Alexandre O'Neill,8200-343,Albufeira","32",,"2","https://www.thefork.com/restaurant/al-italiu-r754579","30% off the 'a la carte' menu","YUMS x2","Italian",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/84aa6743-4210-4283-918f-77cd5821e4cb/f6974dec-18c9-4161-bbed-5dd3804af7b1.jpg","Più Bella","Pizzeria","R. José Pinto Simões 10,8200-667,Albufeira","15","9","669","https://www.thefork.com/restaurant/piu-bella-r690641","30% off the 'a la carte' menu","Pizzeria",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/aaa07841-0641-4f10-a09f-f72ad1499ec7/8408de60-027c-4804-9eca-7c6e0f9e4014.jpg","Montechoro","International food","Rua Alexandre O'Neill,8200-343,Albufeira","32",,"1","https://www.thefork.com/restaurant/montechoro-r754580",,"YUMS x2","International food",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/23e94fc9-ae08-4733-ac2b-787fcdd6712a/dcfff673-92ae-48f8-bc22-39a46de5f13a.jpg","O Lusitano","Portuguese","Urbanização Qta da Correeira - lote 54, bloco 4,8200-161,Albufeira","27","9.4","567","https://www.thefork.com/restaurant/o-lusitano-r65146","Menu do dia €8.5","Portuguese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/30a79a42-f33d-415f-a8c3-18198365bb86/8e248589-9997-4116-b881-2c6cf2798bbd.jpg","Al Quimia ","Portuguese","Aldeia da Falésia,8200-593,Albufeira","110","9.6","709","https://www.thefork.com/restaurant/al-quimia-r214369",,"MICHELIN","INSIDER","Portuguese",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8e060588-4286-4498-b451-96efd308a8ec/b043c666-4e0d-41e6-8012-499ea7424a97.jpg","Lutje","International","Estr. de Santa Eulália 6,8200-269,Albufeira","14","8.9","27","https://www.thefork.com/restaurant/lutje-r800947","30% off the 'a la carte' menu","International",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/f1b80630-bb51-4936-ac0c-c604ebb271ce/1cab2802-d931-43cb-8006-5868fc21e3ba.jpg","Garden Terrace Bistro","International","Av. Dr. Francisco sá Carneiro,8200-291,Albufeira","15","9","581","https://www.thefork.com/restaurant/garden-terrace-bistro-r754484","30% off the 'a la carte' menu","International",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/24a1d499-5e32-4fd7-9a87-1ac745f55b98/865ba60d-c09b-4d44-a0e4-bff3bc541d6e.jpg","Olive Bistro & Gastro Bar","Mediterranean","R. da Torre Velha 325H,8200,Albufeira","20","9.5","906","https://www.thefork.com/restaurant/olive-bistro-gastro-bar-r729328","Barbecue - Brunch - Dom/Sunday €30","Mediterranean",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/9d85acf8-3871-46ea-a8d0-11d7231b1f0f/f282dfc5-f6a6-43c3-9a33-bc13f7783d1a.jpg","Do Avesso","Fusion","R. do Sol loja D, R/C,8200-260,Albufeira","25","8.9","211","https://www.thefork.com/restaurant/do-avesso-r753999","30% off the 'a la carte' menu","Fusion",,,,,,,
