chefName,Count
,1
AXEL A,1
Aashish Salunkhe,1
Abel,2
Adelino De Sousa,1
Ademar Souza,1
Ailton Torres,1
Albano,1
Albert Lepcha,1
Alberto Coelho,1
Alberto Soto,6
Alessandro Olivotto com Consultadoria de Augusto Gemelli,1
Alessandro Valenti,1
Alex Davico e Joo Pereira,1
Alexandre Gulaze,1
Alexandre Lima,1
Alexandre Silva,1
Alfonso Cantarelli,1
Alice de Almeida e Avantika Sharma,1
Alipio Branco,1
Allyson,1
Ana Borba,1
Ana Leo,1
Ana Sousa e Brbara Tom,1
Andr Almeida,1
Andr Campos,1
Andr Catarino,1
Andr Cruz,1
Andr Freire,1
Andr Ramos,3
Andrea Cardoso,2
Andrei Jomir,1
Andreia Oliveira,1
Angela Rizzo,1
Anita Clement,6
Anthoney Pires,2
Antnio Joaquim,1
Antnio Mendes,1
Antnio Pimpo,1
Antnio Torres,1
Antnio Vasconcelos,1
Antonio Junior,1
Antonio Nobre,2
Armando Matos,1
Armando Paulino e Francisco Guerreiro,1
Artur Roldo,1
Artur Santos,1
Arturo Granato,11
B BLON,1
BREARD CHRISTOPHE,11
Barrig,1
Bashar Khabbaz,1
Begoa Rodrigo,10
Bernardo,1
Bernardo Alves,1
Bimal Bhattarai,1
Bruno Amaro,1
Bruno Antunes,1
Bruno Cardoso,1
Bruno Caseiro,1
Bruno China,1
Bruno Gonalves,1
Bruno Lopes Joo Martins,1
Bruno Marques,2
Bruno Matos,1
Bruno Viegas,1
CYRIL CHOISNE,6
Camilo Jaa,1
Camilo Jana,3
Camilo Vecino,1
Carina Nobre,1
Carla Nunes,1
Carlo Coelho,1
Carlos Afonso,1
Carlos Ah Chak,1
Carlos Contardi,1
Carlos Correia,1
Carlos Guerreiro,12
Carlos Luzio,1
Carlos Monteiro,1
Carlos Vinagre e Lus Gomes,1
Carol Silva,1
Carolina Antony,1
Catarina Neves,1
Cavaleiro,1
Celeste Gaio,1
Celso Padeiro,3
Cerveira do Amaral,1
Chackall,1
Christian DAngelo,1
Cidlia Domingos,1
Ciro Piedimonti,3
Claudio Silame,1
D Miguel Sebastio,1
DAlterio Giuliano,6
Damodar Chinchonkar,6
Daniel Ferreira,1
Daniel Gomes,1
Daniel Holdsworth Delgado,3
Daniel Paula,1
Daniel Putz,6
Daniel Rente Jos Barros e Francisco Correia,1
Daniel Sousa,1
Daniela Castello Branco,1
Daniela Silva,1
Daniele Bulgarella Lorenzo Marchesani,6
Danilo Martins,2
David Estevo,1
David Incio,1
David Jesus,1
David Marques,1
David Pinheiro,1
David Vieira,2
Davide Verdirosa,6
Dhiego Silva,3
Diego Gonzalez,1
Diogo Carvalho,2
Diogo Martins,1
Diogo Medalha,1
Diogo Meireles,1
Diogo Pimentel,1
Diogo Silva,1
Diogo Simes,1
Dona Madalena,1
Dores Alves,1
Duarte Eira,1
Edson Coutinho,1
Eduardo,1
Eduardo Barsotti,1
Eduardo Quintana,8
Edward Dutton,10
Edwin Rodrguez Propietario,1
Efigenia Soares,1
Elisabete Pinto bekas,1
Elsa,1
Emanuel Soares,1
Emidio Freire,1
Eneko Atxa,1
Ennio Interlenghi,11
Enrico,6
Enrique Prez,6
Erik Marchesan,6
Ermelinda Silva,3
Eugnio Guedes,1
Eulitrio de Assuno,1
Evandro Gonalves,1
Executive  Manuela Devietti Goggia,11
FERNANDO P ARELLANO,11
Fabien BOURDET,7
Fagner Buzinhani,1
Fbio Alves,1
Fernanda Vieira,1
Fernando Caridade,1
Fernando Machado,1
Fernando Sousa,1
Filipe Bento,1
Filipe Fonseca,1
Filipe Leonardo,1
Filipe Lopes,1
Filipe Rebocho,1
Filippos Valtinos,1
Florian Barbarot,9
Flvio Barbosa,1
Francisco Almeida,1
Francisco Martins,1
Francisco Neto,1
Franco Iacuzzi,1
Ftima Salvador,1
Galyna Vatamanyuk,1
Gerson Almeida,1
Giampaolo Marchese,6
Gian Paolo,6
Gianfranco,1
Gianluca Giampaolo,1
Gianni De Luca,1
Giovanni Pellegrino,1
Giuseppe Paban,1
Gonalo Paulos,1
Gonalo Trindade,1
Guilherme Oliveira,1
Guilherme Sousa,1
Guilherme Spalk,1
Guilhermina Rosrio,1
Guillaume Sanchez,10
Habner Gomes,1
Helder Martins,1
Henrique Leis,1
Henrique Lopes,1
Henrique S Pessoa,2
Henrique Sampaio Ferreira,1
Hlder Rodrigues,1
Hoang Duc Nguyen,1
Horcio Albino,1
Hugo Cortez,1
Hugo Dias,2
Hugo Hering,1
Hugo Mido Dias,1
Hugo Sousa,2
Hugo Teixeira,1
Hyeongsoon Choi,1
Idriss,1
Igor Santos,1
Inajara Luijben,3
Inga Martin,1
Ingen mjlighet fr barnvagn ldersgrns p r Kontantfri restaurang ej mjlighet fr take away,6
Ins Lopes,1
Iovani Valle,11
Iqbal Hossain Mohon,3
Irwin Durand,10
Isabel Pires,1
Israel Fernandes,1
Ivonete Goncalves,1
Jamie Oliver,2
JeanMarc Boyer,11
Jeff Mnaco,1
Jefferson Mnaco,1
Jessica Brito,1
Joana Ivo,1
Joana Silva,1
Joao Almeida,1
Joao Veloso,1
Joaquim Raimundo,1
Joberto Araujo,1
Joel Simo,1
Johnnie Crowe,8
Joo Almeida,1
Joo Amorim,1
Joo Bivar,1
Joo Caio,1
Joo Correia,2
Joo Cura,1
Joo Dias,1
Joo Duro,1
Joo Magalhes,1
Joo Miguel Lombardo,1
Joo Narigueta,1
Joo Oliveira,1
Joo Paulo Duarte,1
Joo Paulo e Patrcia Romeiro,1
Joo Ribeiro,1
Joo Ricardo Alves Sommelier Alejandro Chavarro,1
Joo Santos,1
Joo Silva,1
Joo Valente,1
Jorge Coimbra,1
Jorge Fernandes,1
Jorge Flor,1
Jorge Moreira,1
Jorge Santos,2
Jorge Vasconcelos,1
Jos,1
Jos Alves,1
Jos Antonio Campoviejo,6
Jos Bald,1
Jos Freitas,2
Jos Gomes,1
Jos Guerreiro Dias Martins,3
Jos Lus Trigueiro,1
Jos Maria Gomes,2
Jos Ramos,1
Jos Rebocho,1
Jos Silva,1
Jos do Carmo,1
Jos santos,1
Jose Montero,1
Julien Maunoir,1
Julien Montbabut,1
Julio Ferradas,6
Junko Kawasaki,7
Justin Jennings,1
KIko Martins,1
Kadu,1
Karol,1
Kelving Cordero,1
Krystopher Sanchez,1
LAUX thierry,2
LUKA,1
Lcia Fernandes,1
Lcia Ribeiro,1
Ldia Soares Mira,1
Leandro Nascimento,1
Leonardo Galvo,1
Leticia Costa,1
Licinia Quintelas,1
Liliana Almeida,1
Lino Mendes,3
Liudmyla Movchan,1
Ljubomir Stanisic,2
Louisphilippe Capo,11
Lucas Aaron,1
Lucas Alves,1
Lucas Mendes,2
Lucas kc,1
Luis Apostolo,1
Luis Arotengo Zamudio,1
Luis Duarte,2
Luis Mourao,3
Luis Mouro,3
Luis Pronto,1
Luisa Gouveia,1
Luisa Pinto,1
Luiz Henrique,1
Lus Barradas,1
Lus Candeias,4
Lus Correia,1
Lus Cristina,1
Lus Ferreira,3
Lus Gaspar,3
Lus Gonalves,1
Lus Lavrador,1
Lus Lopes,1
Lus Magalhes,1
Lus Minuzzi,1
Lus Mouro,3
Lus Nunes,1
Lus Santos,3
MARIA DO CARMO,1
Maia Mereuta Cristian Errati,6
Malik,1
Manel Aguiar,1
Manel guas,2
Manuel Barreto,1
Manuel Dias,3
Manuel Faria,1
Manuel Ferreira,1
Manuel Pio,1
Manuel Silva,2
Manuela Brando,1
Manuela Colao,1
Manuele Bazzoni,11
Mara Jos Martnez,11
Marcio Lopes,1
Marco Almeida,1
Marco Chamberlain Homem de S,1
Marco Santos,1
Marco Sousa,1
Marcos Guedes,1
Marcos Vicentin,1
Maria Jos Freitas Lima,1
Maria Miranda,1
Maria Teresa Bento,1
Maria do Carmo Alves,1
Maria do Rosrio  desde,1
Maria dos Anjos Martins,1
Mariana Fernandes,1
Maril,10
Marlene Neto,1
Marta Figueiredo,1
Masahiro MORIYA,11
Massimo Sarais,1
Mateus Oliveira,1
Mathew Maia,1
Maurcio Horsth,1
Maurcio Lage,1
Maurice Belhaj,1
Mauro de Sousa,1
Maxime Kozlitine,1
Mendes,1
Menu terrasse obligatoire pour laccs la terrasse,10
Micael Figueiredo,1
Michael Toledo,1
Miguel Batista,1
Miguel Navarro,6
Miguel Neto,1
Miguel Silva,3
Milan Jurgha Magar,1
Milton Ferreira,1
Miraela,3
Morais,1
Mrcio Silva,3
Mrio Cardoso,1
Mrio Lino e Marco Morais,1
Mrio Vasconcelos,1
Narayan Rao,1
Natanael Silva,1
Nathan Cornwell,11
Nathy,1
Naturvinbar Ingen mjlighet fr barnvagn ldersgrns p r Kontantfri restaurang ej mjlighet fr take away,12
Nelson Candeias,1
Nelson Mendes,1
Nelson Rolo,1
Nicola,1
Nirmal Save,1
Noki,1
Nol Brard,11
Noppadol Chanlongchubchit,1
Norimichi Hori,1
Not Applicable,1218
Nuande Pekel,1
Nuno Barros,1
Nuno Brs,1
Nuno Martins,1
Nuno Varela,1
OCTAVE KASAKOLU,6
Olivia,1
Olivier Costa,4
Olivier da Costa,3
Olivier da Costa e Alexandre Hatano,1
Osman Tay,1
PHUNTSOK DOLMA,1
PIZZA BX,1
Palmira Alberto,1
Patrcia Martins,1
Patrcia Primor e Carlos Mota,1
Patrick Lefeuvre,1
Paula Bexiga,1
Paula Simes,1
Paulo Felisberto,1
Paulo Felix,1
Paulo Fonseca,1
Paulo Gonalves,1
Paulo Pessoa,3
Paulo Santos,1
Pedro Alves dos Santos,1
Pedro Canha,1
Pedro CastelBranco,1
Pedro Fernandes Adriano Peixoto,1
Pedro Guarino,1
Pedro Ingls Marques,1
Pedro Jorge,1
Pedro Macedo,1
Pedro Mendes,1
Pedro Pasqualette,1
Pedro Pires,1
Pedro Ruivo,1
Philip Brunner,1
Philippe Gelfi,1
Pierre Lefebvre,11
Pratap Thapa,2
Pricles Lacerda,1
Rafa Soler,11
Rafael Duarte,1
Rafael Gomes,2
Rafael Santos,1
Raffaele de Mase,11
Ral Balam,10
Raphael,1
Raphael Szurek,11
Raul Resino,6
Rben Flor,1
Renato Velez,1
Ricardo,1
Ricardo Batista,1
Ricardo Cabrita,3
Ricardo Carvalho,1
Ricardo Casqueiro,1
Ricardo Dias Ferreira,1
Ricardo Dias Ferreira e Lorina Gaspar,1
Ricardo Estevas,1
Ricardo Gonalves,1
Ricardo Macedo,1
Ricardo Marques,1
Ricardo Simes,1
Richie,1
Rita Queiroz,1
Roberto Di Cristo,1
Roberto Gonzlez,1
Robson Oliveira,1
Rodi Fernndez,6
Rodolfo Pereira,1
Rodrigo Cardoso,1
Rodrigo Castelo,1
Rodrigo Pinta,1
Rodrigo de la Calle,11
Romilson Santos,3
Rosmel Mendez,1
Rui Barbosa,1
Rui Castilho,1
Rui Lima Santos,2
Rui Mota,1
Rui Paula,3
Rui Rebelo,2
Rui Santos,3
Rui Sequeira,4
Rui Vicente,1
Rui silva,1
SANGUEDO,1
Salvatore Lega,11
Samuel,1
Samuel Mota,1
Sanam Pokhrel,12
Sandra Carvalho,1
Sandro  Nanda,1
Sandro Farinho,1
Sara Verde,1
Satoshi HORIUCHI,11
Scettro Ernesto,6
Sean Marsh,1
Seban,1
Sebastian Ignacio,1
Sebastian Santos,1
Serafim Cardoso,1
Sergi Arola,2
Sergio Duarte,1
Servando Guzmn Serrano El Clan Destino,1
Silvia Brandi,1
Simo Leal,1
Simo Ramos,1
Simoes,3
Simone Spiga,10
Sky Visser,1
Sofia Costa,1
Sofio,1
Spideh Radfar,1
Srgio Gonalves,1
Stefano,6
Stefano Sacilotto,6
Sujan Subedi,1
Susan Hooper,3
Susana Borges,1
Susana Felicidade,1
Susana Sousa,1
Susi Daz,6
Suzette,1
Sylvain AJAVON,11
Tati Justino,3
Telma Antonio,1
Teresa,3
Teresa Aldeia Nova,1
Teresa Ribeiro,1
Tetsuya YOSHIDA,11
Thiago Cesar,1
Thomas Chisholm,1
Tia Isabel,1
Tiago,3
Tiago Amorim,1
Tiago Bonito e Hugo Portela,1
Tiago Carvalho,1
Tiago Correia,1
Tiago Santos,3
Tiago Valente,1
Tnia Oliveira,1
Tony Salgado,1
Toshitaka Omiya,1
Umberto Esposito,6
Upahar Ghimire Hemanta Lama,1
Valdemar Marques,1
Vanessa Moura,1
Vera Silva,1
Vini Lisboa,2
Vinod SIngh Pundeer,1
Vitali,2
Vitor Dias,2
Vitor Gomes,3
Vitor Pereira,1
Vitor Sobral,1
Vitor Veloso,1
Vitor de Oliveira,1
Vittorio Colleoni,1
Vtor Ado,1
Vtor Cruz Ribeiro,1
Vtor Ferreira,3
Vtor Gonalves,1
Vtor mancio,1
Wilhelm Wurger,1
William Drabble,11
Xana e Ral,1
Xavier Laffont,1
Xavier Oliveira,1
Yana Malayko,3
Yang suly,1
Yann Sandrini,2
Yasuo Nanaumi,6
Yesenia Boia,1
Yoni,1
Yoshi NAGATO,11
da Casa,1
jassi,1
rajveer singh,3
s Esteves Pereira e Dona Maria Gomes,1
