restaurantID,url,name,address,averagePrice,chefName1,chefName2,chefName3,cuisine,description,isBookable,maxPartySize,schedule,promotions,phone,photo,ratingValue,reviewCount,style,latitude,longitude,location,city,ambienceRatingSummary,foodRatingSummary,serviceRatingSummary,paymentAcceptedSummary
730060,https://www.thefork.com/restaurant/invictus-r730060,Invictus,"R. José Fontana 10,Albufeira, Portugal",14,Not Applicable,Not Applicable,Not Applicable,International,,True,60.0,"{'Monday': '12:00 - 15:00, 17:30 - 23:00', 'Tuesday': '12:00 - 15:00, 17:30 - 23:00', 'Wednesday': '12:00 - 15:00, 17:30 - 23:00', 'Thursday': '12:00 - 15:00, 17:30 - 23:00', 'Friday': '12:00 - 15:00, 17:30 - 23:00', 'Saturday': '12:00 - 15:00, 17:30 - 23:00', 'Sunday': '12:00 - 15:00, 17:30 - 23:00'}","[{'promotion_type': '20% off', 'day_of_week': 'Sunday', 'start_time': '7:45pm', 'end_time': '11:00pm'}, {'promotion_type': 'Free dessert', 'day_of_week': 'Wednesday', 'start_time': '6:30pm', 'end_time': '10:45pm'}, {'promotion_type': 'Free drink', 'day_of_week': 'Sunday', 'start_time': '5:15pm', 'end_time': '8:00pm'}]",Not Available,https://res.cloudinary.com/tf-lab/image/upload/restaurant/0fb87f67-79d8-4ad5-bb06-6e9d668400cd/92915846-0e73-446a-919f-3e693baa0a07.jpg,8.8,28.0,Bachelor party,,,Albufeira,Albufeira,10.0,10.0,10.0,"['MBWay', 'MBWay']"
805058,https://www.thefork.com/restaurant/galinha-da-vizinha-albufeira-r805058,Galinha da Vizinha - Albufeira,"R. Almeida Garrett 71,Albufeira, Portugal",15,Not Applicable,Not Applicable,Not Applicable,International,,True,,"{'Monday': '12:00 - 22:30', 'Tuesday': '12:00 - 22:30', 'Wednesday': '12:00 - 22:30', 'Thursday': '12:00 - 22:30', 'Friday': '12:00 - 22:30', 'Saturday': '12:00 - 22:30', 'Sunday': '12:00 - 22:30'}","[{'promotion_type': 'Free dessert', 'day_of_week': 'Friday', 'start_time': '7:15pm', 'end_time': '9:45pm'}, {'promotion_type': '10% off', 'day_of_week': 'Sunday', 'start_time': '7:30pm', 'end_time': '9:30pm'}, {'promotion_type': '10% off', 'day_of_week': 'Tuesday', 'start_time': '5:15pm', 'end_time': '9:15pm'}]",965372680,https://res.cloudinary.com/tf-lab/image/upload/restaurant/cf797b76-9f49-4e2d-bd25-89b05d312ff3/e4caa36b-9184-41cf-a5b3-746f2ee12795.jpg,9.3,301.0,After work,,,Albufeira,Albufeira,9.0,9.1,8.9,"['MBWay', 'MBWay', 'Maestro Card', 'Mastercard']"
712669,https://www.thefork.com/restaurant/odessa-sushi-restaurant-r712669,Odessa Sushi Restaurant,"R. da Torre Velha,Albufeira, Portugal",24,Yana Malayko,Not Applicable,Not Applicable,Japanese,,True,60.0,"{'Monday': 'Closed', 'Tuesday': '18:00 - 22:00', 'Wednesday': '18:00 - 22:00', 'Thursday': '18:00 - 22:00', 'Friday': '18:00 - 22:00', 'Saturday': '18:00 - 22:00', 'Sunday': '18:00 - 22:00'}",No Offers,967781189,https://res.cloudinary.com/tf-lab/image/upload/restaurant/25442534-4b23-40e5-91a5-2eb2da7b7a92/a9a3403c-8ea8-48ca-86af-e05594fffa3c.png,9.6,376.0,Birthday,,,Albufeira,Albufeira,9.8,10.0,9.5,"['MBWay', 'MBWay', 'Visa']"
576521,https://www.thefork.com/restaurant/chutneys-r576521,Chutneys,"Tv. Antero de Quental 4B r/c,Albufeira, Portugal",14,Iqbal Hossain Mohon,Not Applicable,Not Applicable,Indian,,True,60.0,"{'Monday': '11:30 - 14:30, 18:00 - 24:00', 'Tuesday': '11:30 - 14:30, 18:00 - 24:00', 'Wednesday': '11:30 - 14:30, 18:00 - 24:00', 'Thursday': '11:30 - 14:30, 18:00 - 24:00', 'Friday': '11:30 - 14:30, 18:00 - 24:00', 'Saturday': '11:30 - 14:30, 18:00 - 24:00', 'Sunday': '11:30 - 14:30, 18:00 - 24:00'}","[{'promotion_type': '20% off', 'day_of_week': 'Sunday', 'start_time': '8:45pm', 'end_time': '10:00pm'}, {'promotion_type': 'Happy Hour', 'day_of_week': 'Tuesday', 'start_time': '4:15pm', 'end_time': '6:45pm'}, {'promotion_type': 'Free drink', 'day_of_week': 'Tuesday', 'start_time': '5:30pm', 'end_time': '10:00pm'}]",289508393,https://res.cloudinary.com/tf-lab/image/upload/restaurant/b503cd9e-224f-4351-96ca-a17d6bf58d2f/4ee46969-3d9a-45ea-a823-96e9f49741a9.jpg,9.1,580.0,Good for ceremonies,,,Albufeira,Albufeira,9.0,9.7,9.5,['Credit Card']
802974,https://www.thefork.com/restaurant/audaces-r802974,Audaces,"R. Alexandre Herculano 11,Albufeira, Portugal",15,Romilson Santos,Not Applicable,Not Applicable,Portuguese,,True,,"{'Monday': 'Closed', 'Tuesday': '12:00 - 16:00, 19:00 - 24:00', 'Wednesday': '12:00 - 16:00, 19:00 - 24:00', 'Thursday': '12:00 - 16:00, 19:00 - 24:00', 'Friday': '12:00 - 16:00, 19:00 - 24:00', 'Saturday': '12:00 - 16:00, 19:00 - 24:00', 'Sunday': '12:00 - 16:00, 19:00 - 24:00'}",No Offers,Not Available,https://res.cloudinary.com/tf-lab/image/upload/restaurant/6c1fbaa3-0ebc-4441-a116-2595fe73dc6c/d1b83877-7878-40c0-8e9a-8c5d0c6d887b.jpg,9.0,82.0,After work,,,Albufeira,Albufeira,9.0,9.75,9.25,"['MBWay', 'MBWay', 'Credit Card', 'Maestro Card', 'Mastercard', 'Visa', 'Visa Electron']"
754579,https://www.thefork.com/restaurant/al-italiu-r754579,Al'Italiu,"Rua Alexandre O'Neill,Albufeira, Portugal",32,Carlos Guerreiro,Not Applicable,Not Applicable,Italian,,True,60.0,"{'Monday': '19:00 - 22:00', 'Tuesday': '19:00 - 22:00', 'Wednesday': '19:00 - 22:00', 'Thursday': '19:00 - 22:00', 'Friday': '19:00 - 22:00', 'Saturday': '19:00 - 22:00', 'Sunday': '19:00 - 22:00'}","[{'promotion_type': 'Happy Hour', 'day_of_week': 'Saturday', 'start_time': '2:00pm', 'end_time': '5:30pm'}, {'promotion_type': 'Free dessert', 'day_of_week': 'Tuesday', 'start_time': '7:45pm', 'end_time': '8:15pm'}, {'promotion_type': 'Happy Hour', 'day_of_week': 'Saturday', 'start_time': '4:45pm', 'end_time': '6:45pm'}]",Not Available,https://res.cloudinary.com/tf-lab/image/upload/restaurant/dd1ee6b2-ec17-4434-b316-dc914aae0977/840a276a-863d-45be-8267-e4c859ed74a1.jpg,,2.0,After work,,,Albufeira,Albufeira,8.0,10.0,10.0,"['MBWay', 'MBWay', 'Credit Card', 'Maestro Card', 'Mastercard', 'Visa', 'Visa Electron']"
690641,https://www.thefork.com/restaurant/piu-bella-r690641,Più Bella,"R. José Pinto Simões 10,Albufeira, Portugal",15,Not Applicable,Not Applicable,Not Applicable,Pizzeria,,True,60.0,"{'Monday': '12:00 - 14:30, 19:00 - 22:30', 'Tuesday': '12:00 - 14:30, 19:00 - 22:30', 'Wednesday': '12:00 - 14:30, 19:00 - 22:30', 'Thursday': '12:00 - 14:30, 19:00 - 22:30', 'Friday': '12:00 - 14:30, 19:00 - 22:30', 'Saturday': '12:00 - 14:30, 19:00 - 22:30', 'Sunday': 'Closed'}",No Offers,289035681,https://res.cloudinary.com/tf-lab/image/upload/restaurant/84aa6743-4210-4283-918f-77cd5821e4cb/f6974dec-18c9-4161-bbed-5dd3804af7b1.jpg,9.0,669.0,After work,,,Albufeira,Albufeira,9.0,9.4,9.1,"['Credit Card', 'Mastercard', 'Visa', 'Visa Electron']"
754580,https://www.thefork.com/restaurant/montechoro-r754580,Montechoro,"Rua Alexandre O'Neill,Albufeira, Portugal",32,Carlos Guerreiro,Not Applicable,Not Applicable,International,,True,60.0,"{'Monday': '19:00 - 22:00', 'Tuesday': '19:00 - 22:00', 'Wednesday': '19:00 - 22:00', 'Thursday': '19:00 - 22:00', 'Friday': '19:00 - 22:00', 'Saturday': '19:00 - 22:00', 'Sunday': '19:00 - 22:00'}",No Offers,Not Available,https://res.cloudinary.com/tf-lab/image/upload/restaurant/aaa07841-0641-4f10-a09f-f72ad1499ec7/8408de60-027c-4804-9eca-7c6e0f9e4014.jpg,,1.0,All you can eat buffet,,,Albufeira,Albufeira,,,,"['MBWay', 'MBWay', 'Credit Card', 'Maestro Card', 'Mastercard', 'Visa', 'Visa Electron']"
65146,https://www.thefork.com/restaurant/o-lusitano-r65146,O Lusitano,"Urbanização Qta da Correeira - lote 54, bloco 4,Albufeira, Portugal",27,Not Applicable,Not Applicable,Not Applicable,Portuguese,,True,20.0,"{'Monday': '12:30 - 15:00, 19:00 - 22:30', 'Tuesday': '12:30 - 15:00, 19:00 - 22:30', 'Wednesday': '12:30 - 15:00, 19:00 - 22:30', 'Thursday': '12:30 - 15:00, 19:00 - 22:30', 'Friday': '12:30 - 15:00, 19:00 - 22:30', 'Saturday': '19:00 - 22:30', 'Sunday': 'Closed'}","[{'promotion_type': '10% off', 'day_of_week': 'Monday', 'start_time': '6:15pm', 'end_time': '10:00pm'}, {'promotion_type': '30% off', 'day_of_week': 'Friday', 'start_time': '5:00pm', 'end_time': '9:15pm'}, {'promotion_type': 'Free drink', 'day_of_week': 'Friday', 'start_time': '6:30pm', 'end_time': '9:00pm'}]",289592217,https://res.cloudinary.com/tf-lab/image/upload/restaurant/23e94fc9-ae08-4733-ac2b-787fcdd6712a/dcfff673-92ae-48f8-bc22-39a46de5f13a.jpg,9.4,567.0,Good for families,,,Albufeira,Albufeira,9.5,9.8,9.8,[]
214369,https://www.thefork.com/restaurant/al-quimia-r214369,Al Quimia ,"Aldeia da Falésia,Albufeira, Portugal",110,Luis Mourao,Not Applicable,Not Applicable,Portuguese,,True,6.0,"{'Monday': 'Closed', 'Tuesday': '19:00 - 22:00', 'Wednesday': '19:00 - 22:00', 'Thursday': '19:00 - 22:00', 'Friday': '19:00 - 22:00', 'Saturday': '19:00 - 22:00', 'Sunday': 'Closed'}","[{'promotion_type': '10% off', 'day_of_week': 'Wednesday', 'start_time': '7:30pm', 'end_time': '10:45pm'}]",289104300,https://res.cloudinary.com/tf-lab/image/upload/restaurant/30a79a42-f33d-415f-a8c3-18198365bb86/8e248589-9997-4116-b881-2c6cf2798bbd.jpg,9.6,709.0,Contemporary cuisine,,,Albufeira,Albufeira,9.8,9.9,10.0,"['Credit Card', 'Mastercard', 'Visa', 'Visa Electron']"
