restaurantID,name_standard,cuisine_standard,style_standard,city_standard,location_standard,paymentsSummarystr_standard
730060,invictus,international,bachelor party,albufeira,albufeira,mbway mbway
805058,galinha da vizinha albufeira,international,after work,albufeira,albufeira,mbway mbway maestro card mastercard
712669,odessa sushi restaurant,japanese,birthday,albufeira,albufeira,mbway mbway visa
576521,chutneys,indian,good for ceremonies,albufeira,albufeira,credit card
802974,audaces,portuguese,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
754579,al italiu,italian,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
690641,piu bella,pizzeria,after work,albufeira,albufeira,credit card mastercard visa visa electron
754580,montechoro,international,all you can eat buffet,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
65146,lusitano,portuguese,good for families,albufeira,albufeira,
214369,al quimia,portuguese,contemporary cuisine,albufeira,albufeira,credit card mastercard visa visa electron
800947,lutje,international,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
754484,garden terrace bistro,international,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
729328,olive bistro gastro bar,mediterranean,contemporary cuisine,albufeira,albufeira,credit card mastercard visa visa electron voucher
753999,do avesso,fusion,after work,albufeira,albufeira,mbway mbway credit card maestro card visa visa electron
806437,requinte frutado,portuguese,bachelor party,albufeira,albufeira,mbway mbway credit card maestro card visa
740769,prime sushi cocktail bar,japanese,author,albufeira,albufeira,mbway mbway credit card visa
690899,farm village lounge bar restaurant,mediterranean,after work,albufeira,albufeira,apple pay credit card mastercard mbway visa visa electron
312853,mato vista,portuguese,good for groups,albufeira,albufeira,check credit card mastercard visa
750891,mnm kitchen,nepalese,after work,albufeira,albufeira,credit card mastercard visa
650787,appetito pizza bar,italian,central location,albufeira,albufeira,cash mastercard visa
665525,restaurante bom apetite,portuguese,after work,albufeira,albufeira,credit card mastercard visa visa electron
593541,pizzeria ristorante capri,italian,after work,albufeira,albufeira,credit card mastercard visa
384377,donaldo,european,good for groups,albufeira,albufeira,credit card mastercard visa
657093,cafe oceano restaurante,mediterranean,after work,albufeira,albufeira,american express credit card mastercard visa visa electron
307151,the market restaurant,international,bistro,albufeira,albufeira,credit card visa
801494,hamburgueria da baixa albufeira,portuguese,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
635873,yakuza by olivier algarve,japanese,after work,albufeira,albufeira,credit card mastercard visa
342831,spice lounge,indian,not available,albufeira,albufeira,credit card mastercard visa
636389,restaurante paraiso do algarve,portuguese,good for families,albufeira,albufeira,american express cash credit card mastercard visa visa electron
730521,paper moon,italian,after work,albufeira,albufeira,mbway mbway
325917,paulus pizzeria,italian,fine dining,albufeira,albufeira,credit card mastercard visa
639581,terrazza del mare,italian,after work,albufeira,albufeira,credit card mastercard visa visa electron
326461,johnny hoopers saxophone bistro,international,good for groups,albufeira,albufeira,credit card mastercard visa
731397,castelo beach club,mediterranean,birthday,albufeira,albufeira,mbway mbway
343935,jaipur,indian,good for groups,albufeira,albufeira,mastercard visa
804109,jardim rustico,seafood,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
206495,louro salsa,vegan cuisine,good for families,albufeira,albufeira,credit card mastercard visa
732202,infinity sushi steakhouse,international,bachelor party,albufeira,albufeira,mbway mbway
732206,italian planet restaurant,portuguese,bachelor party,albufeira,albufeira,mbway mbway
730516,market kitchen,international,after work,albufeira,albufeira,american express apple pay mbway credit card maestro card mastercard visa visa electron
405433,mother india,indian,good for families,albufeira,albufeira,credit card mastercard visa
393031,memorias,portuguese,fine dining,albufeira,albufeira,credit card mastercard visa
285899,wild co steakhouse,steakhouse,after work,albufeira,albufeira,credit card mastercard visa
652333,steakhouse by real,international,good for families,albufeira,albufeira,credit card mastercard visa visa electron
730107,restaurante ribeiros,portuguese,author,albufeira,albufeira,mbway mbway
695905,hope tapas lounge bar,mediterranean,after work,albufeira,albufeira,credit card mastercard visa visa electron
755354,texas grill bar,steakhouse,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa
735118,xerem restaurante,portuguese,after work,albufeira,albufeira,mbway mbway credit card mastercard visa visa electron
583727,os gregos,greek,central location,albufeira,albufeira,credit card mastercard visa
732209,central planet restaurant grill,portuguese,bachelor party,albufeira,albufeira,mbway mbway
434481,italian republic albufeira,italian,cosy,albufeira,albufeira,credit card visa
689089,solgamba,european,after work,albufeira,albufeira,credit card mastercard visa visa electron
689837,barril,portuguese,bachelor party,albufeira,albufeira,visa visa electron
755356,casa nostra,italian,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa
572301,grill en oven,portuguese,after work,albufeira,albufeira,credit card mastercard visa
804171,vino by paper moon,italian,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
731195,atlantico,portuguese,cosy,albufeira,albufeira,mbway mbway
737426,il basilico algarve,italian,cosy,albufeira,albufeira,american express credit card mastercard visa
389931,ramos,european,central location,albufeira,albufeira,credit card diners club card mastercard visa
681997,alecrim,mediterranean,birthday,albufeira,albufeira,credit card mastercard visa visa electron
65222,uzonj,mediterranean,live music,albufeira,albufeira,apple pay credit card mastercard visa
706709,taberna,portuguese,good for groups,albufeira,albufeira,credit card
705933,uddo,japanese,creative,albufeira,albufeira,credit card mastercard mbway visa
498585,open deck,portuguese,contemporary cuisine,albufeira,albufeira,american express credit card mastercard visa visa electron
342331,adega do david,portuguese,not available,albufeira,albufeira,
498601,lima,vegetarian,contemporary cuisine,albufeira,albufeira,credit card mastercard visa
657123,curry leaves,indian,after work,albufeira,albufeira,credit card mastercard visa visa electron
756109,taverna olhos agua,mediterranean,bachelor party,albufeira,olhos de agua,mbway mbway credit card maestro card mastercard visa visa electron
714221,tasca da cascata,mediterranean,bachelor party,albufeira,albufeira,mbway mbway
735677,frank,european,contemporary cuisine,albufeira,albufeira,apple pay credit card diners club card mastercard mbway visa visa electron
466777,alisios terraco,mediterranean,not available,albufeira,albufeira,credit card mastercard visa
752467,di sao paulo esfiharia pizzaria,italian,after work,albufeira,albufeira,mbway mbway credit card maestro card mastercard visa visa electron
732699,dolce pizzeria ristorante,pizzeria,good for families,aveiro,aveiro,credit card mastercard visa
389605,rebaldaria,international,good for families,aveiro,aveiro,credit card
702001,rekint,portuguese,cosy,aveiro,aveiro,credit card
728498,vaticano aveiro,italian,author,aveiro,aveiro,credit card mastercard visa visa electron
751919,rosa sushi,japanese,cosy,aveiro,aveiro,credit card mastercard visa
733644,fama by luis lavrador,portuguese,author,aveiro,aveiro,credit card mastercard mbway visa
710824,green point,international,brunch,aveiro,aveiro,credit card mbway visa electron
805731,prosa,mediterranean,author,aveiro,aveiro,american express credit card mastercard visa visa electron
735017,courage,mediterranean,after work,aveiro,aveiro,credit card mastercard visa visa electron
752493,deck ria,varied,central location,aveiro,aveiro,credit card mastercard visa
