Willingness to Try Exotic Foods,Importance of Food Presentation,Value for Money in Meals,Preference for Gourmet Restaurants,Interest in Nutritional Content,Frequency of Eating Home-Cooked Meals,Desire for New Culinary Experiences,Preference for Organic or Diet-Specific Foods,Enjoyment of Traditional or Familiar Foods,Willingness to Spend on High-Quality Ingredients
3,2,5,1,3,4,3,3,4,2
2,1,4,1,2,3,3,3,3,1
3,2,5,1,3,4,3,3,4,2
2,3,4,1,4,3,3,3,3,3
3,1,5,1,2,4,3,3,4,1
2,2,4,1,3,3,3,3,3,2
3,3,5,1,4,4,3,3,4,3
2,1,4,1,2,3,3,3,3,1
3,2,5,1,3,4,3,3,4,2
2,3,4,1,4,3,3,3,3,3
3,1,5,1,2,4,3,3,4,1
2,2,4,1,3,3,3,3,3,2
3,3,5,1,4,4,3,3,4,3
2,1,4,1,2,3,3,3,3,1
3,2,5,1,3,4,3,3,4,2
2,3,4,1,4,3,3,3,3,3
3,1,5,1,2,4,3,3,4,1
2,2,4,1,3,3,3,3,3,2
3,3,5,1,4,4,3,3,4,3
2,1,4,1,2,3,3,3,3,1
3,2,5,1,3,4,3,3,4,2
