Willingness to Try Exotic Foods,Importance of Food Presentation,Value for Money in Meals,Preference for Gourmet Restaurants,Interest in Nutritional Content,Frequency of Eating Home-Cooked Meals,Desire for New Culinary Experiences,Preference for Organic or Diet-Specific Foods,Enjoyment of Traditional or Familiar Foods,Willingness to Spend on High-Quality Ingredients,personality,username
1,4,5,3,1,4.0,1,4,5,4,Comfort Food Lover,Zr3rnyDKyw
3,4,4,2,1,5.0,2,3,5,1,Comfort Food Lover,lpGeFdHgy2
1,2,5,1,1,3.0,4,5,5,4,Comfort Food Lover,SPtayFNief
4,1,5,2,4,2.0,3,5,5,1,Comfort Food Lover,YMKuD0DEvA
1,5,5,3,5,5.0,3,1,3,5,Comfort Food Lover,2GqpILmvhJ
1,3,4,4,4,5.0,1,5,5,4,Comfort Food Lover,GxBHZNj4tn
1,5,2,2,1,5.0,4,5,4,5,Comfort Food Lover,RArJQZ02fH
1,1,4,2,1,5.0,1,3,3,3,Comfort Food Lover,EpmTOPjJEK
4,1,5,3,1,3.0,1,2,5,5,Comfort Food Lover,s5d9KerZqI
1,1,5,1,3,3.0,1,5,3,1,Comfort Food Lover,sBYFfA2x4c
1,4,5,1,1,3.0,1,1,5,4,Comfort Food Lover,mejbL5CKPU
1,1,5,4,1,5.0,1,5,5,1,Comfort Food Lover,nC5SYlfb4r
2,4,5,1,2,5.0,3,5,3,4,Comfort Food Lover,w1LzUxdBbb
1,1,2,1,4,2.0,3,3,5,3,Comfort Food Lover,EAmPSqeM3b
4,1,2,1,1,5.0,4,5,5,2,Comfort Food Lover,Xv5eJWmEr2
5,1,2,4,3,5.0,2,5,3,4,Comfort Food Lover,6betexS0NC
2,5,5,1,2,4.0,3,3,5,1,Comfort Food Lover,OEL6BqItBR
1,1,4,1,1,2.0,2,1,2,4,Comfort Food Lover,zrdeNgPOeR
4,5,5,5,4,5.0,1,5,4,5,Comfort Food Lover,H4NKvqNbPp
1,1,1,1,1,3.0,2,4,5,1,Comfort Food Lover,t5pwLkR583
1,4,5,3,2,3.0,1,2,4,5,Comfort Food Lover,T2b4HYkx5M
4,2,2,5,5,2.0,2,4,1,3,Conscious Eater,qi8PvNdQxn
1,5,1,1,3,5.0,1,5,4,5,Conscious Eater,8Q9VNfGfON
