"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/216b3de1-9622-4cf9-89f7-2887c3c92e1b/567fdbd3-47a6-4bdb-b976-d2c346dfea12.jpg","Lumbini","Indian","Rua da Esperança - 42,1200-658,Lisboa","13","9.1","1150","https://www.thefork.com/restaurant/lumbini-r626181","-30% sobre a ementa!","YUMS x2","Indian",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/ac449a48-c80a-436d-ba05-234fdc6d6b7d/fcdb7426-37c5-4b16-b9c0-c33cd238c3e2.jpg","Moules & Gin Lisboa","Regional","Rua Correia Teles - 56,1350-102,Lisboa","20","9.1","904","https://www.thefork.com/restaurant/moules-gin-lisboa-r750475","30% off the 'a la carte' menu","YUMS x2","Regional",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/c95ac4a3-5e28-4a56-bf93-07a2eb1d2164/8f96ebf4-fed1-46cd-809c-69837d03006d.jpg","Il Pizzavendolo","Pizzeria","Rua Damasceno Monteiro - 106B,1170-113,Lisboa","18","9.7","6","https://www.thefork.com/restaurant/il-pizzavendolo-r807992","50% off the 'a la carte' menu","YUMS x2","Pizzeria",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/1a88d64b-1f11-4aa9-983f-baf61e2d4b57/495e44d1-71f1-48c9-8e7a-8055b6daded3.jpg","Beco a Sério","Portuguese","Calçada de São Vicente - 42,1100-213,Lisboa","25","9.3","1181","https://www.thefork.com/restaurant/beco-a-serio-r354943","-30% sobre a ementa!","YUMS x2","Portuguese",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8af4ff6d-a47f-4926-a1c9-185fe4b6c127/9ad55460-d7da-497c-9dc9-5c70a39da576.jpg","Caso Sério","Portuguese","Rua Cruzes da Sé 5,1100-192,Lisboa","15","8.8","1662","https://www.thefork.com/restaurant/caso-serio-r64703","Promoção 30%","YUMS x2","Portuguese",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b4caed95-ec86-418d-8e41-3cc9f9e67a98/9ee2caba-c89e-4b02-9cde-974b95c272f4.jpg","111 Vinhos - Marquês","Portuguese","Rua da Sociedade Farmacêutica - 20A,1150-340,Lisboa","15","9.1","1008","https://www.thefork.com/restaurant/111-vinhos-marques-r543861","50% off the 'a la carte' menu","YUMS x2","Portuguese",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/5f7790c4-a5aa-4b02-ac35-65c149e1f631/450f9a9b-1ce2-4e90-abf8-59236ec0acb4.jpg","Grenache","International food","Pátio de Dom Fradique - 12,1100-621,Lisbon","85","9.5","963","https://www.thefork.com/restaurant/grenache-r502653","Menu Experience €140","MICHELIN","INSIDER","International food",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/c3868f98-bb94-4cfb-ad5f-405f660d9024/75a61a14-7400-4df0-a12b-59107ed3c3cf.jpg","MATIZ LISBOA","Portuguese","Av. da Liberdade 127,1250-146,Lisboa","47","9.1","561","https://www.thefork.com/restaurant/matiz-lisboa-r716455","-30% sobre a ementa!","Portuguese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/1c05e7bb-adf4-4962-8ce2-5db2a2efe699/9cd0e594-1d58-40db-9c5a-9d4e426aaf2c.jpg","Bollywood","Indian","R. Latino Coelho 18,1050-111,Lisbon","13","9","1594","https://www.thefork.com/restaurant/bollywood-r666665","40% off the 'a la carte' menu","YUMS x2","Indian",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/2f56b0a3-05ad-4bb9-a31b-b10a40d00c50/162519e5-a646-4871-96d8-5e1e14a08c56.jpg","Ganesha Palace","Indian","Avenida Álvares Cabral - 44/48,1250-018,Lisboa","15","9.1","570","https://www.thefork.com/restaurant/ganesha-palace-r325439","-30% sobre a ementa! ","Indian",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/1431a7ae-fcdd-473e-b96d-cd31486877ff/9b4720d7-b170-40dd-aa32-f93bb761f117.jpg","Gurkha São Bento","Indian","R. São Bento 318,1200-817,Lisboa","15","9.1","976","https://www.thefork.com/restaurant/gurkha-sao-bento-r203793","-30% sobre a ementa!","Indian",,,,
