,type
0,International food
1,International food
2,Japanese
3,Indian
4,Portuguese
5,Italian
6,Pizzeria
7,International food
8,Portuguese
9,Portuguese
10,International
11,International
12,Mediterranean
13,Fusion
14,Portuguese
15,Japanese
16,Mediterranean
17,Portuguese
18,Nepalese
19,Italian
20,Portuguese
21,Italian
22,European
23,Mediterranean
24,International
25,Portuguese
26,Japanese
27,Indian
28,Portuguese
29,Italian
30,Italian
31,Italian
32,International food
33,Mediterranean
34,Indian
35,Seafood
36,Vegan cuisine
37,International
38,Portuguese
39,International
40,Indian
41,Traditional cuisine
42,Steakhouse
43,International
44,Portuguese
45,Mediterranean
46,Steakhouse
47,Regional
48,Greek
49,Portuguese
50,Italian
51,European
52,Portuguese
53,Italian
54,Portuguese
55,Italian
56,Portuguese
57,Italian
58,European
59,Mediterranean
60,Mediterranean
61,Portuguese
62,Japanese
63,Portuguese
64,Portuguese
65,Vegetarian
66,Indian
67,Mediterranean
68,Mediterranean
69,European
70,Mediterranean
71,Italian
72,Pizzeria
73,International
74,Portuguese
75,Italian
76,Japanese
77,Traditional cuisine
78,International
79,Mediterranean
80,Mediterranean
81,Varied
82,Italian
83,European
84,Varied
85,Italian
86,Portuguese
87,Pizzeria
88,Mediterranean
89,Varied
90,International
91,Portuguese
92,Mediterranean
93,Pizzeria
94,Portuguese
95,Portuguese
96,Grilled
97,Varied
98,European
99,Mediterranean
100,Portuguese
101,International food
102,Italian
103,Italian
104,Portuguese
105,Italian
106,International
107,Mediterranean
108,Pizzeria
109,Mediterranean
110,Thai
111,Portuguese
112,International food
113,Portuguese
114,Traditional cuisine
115,Italian
116,Mexican
117,International
118,Portuguese
119,Indian
120,Local
121,Asian
122,Varied
123,Traditional cuisine
124,Seafood
125,Portuguese
126,Steakhouse
127,International food
128,Steakhouse
129,Steakhouse
130,International food
131,Pizzeria
132,European
133,Portuguese
134,Portuguese
135,Mediterranean
136,Greek
137,Indian
138,European
139,International
140,Japanese
141,French
142,Italian
143,Portuguese
144,Portuguese
145,International food
146,Portuguese
147,Steakhouse
148,International
149,Thai
150,Portuguese
151,International
152,Italian
153,International
154,International food
155,Portuguese
156,Nepalese
157,European
158,Steakhouse
159,Portuguese
160,Portuguese
161,International
162,Asian
163,International
164,Fusion
165,European
166,Japanese
167,Portuguese
168,Portuguese
169,Japanese
170,Japanese
171,Portuguese
172,Mediterranean
173,Mediterranean
174,Portuguese
175,Italian
176,Traditional cuisine
177,International food
178,International
179,Regional
180,Japanese
181,Mediterranean
182,Mediterranean
183,Pizzeria
184,Steakhouse
185,Steakhouse
186,Vegan cuisine
187,Steakhouse
188,Portuguese
189,Japanese
190,Mediterranean
191,Portuguese
192,Pizzeria
193,Portuguese
194,Portuguese
195,European
196,Portuguese
197,Portuguese
198,International food
199,Fusion
200,Portuguese
201,Mediterranean
202,Portuguese
203,Italian
204,Mediterranean
205,Mediterranean
206,Portuguese
207,South American
